Delta_center,Delta_min_line,E0,E1,U,U_offset,branch,critical_U,maximum_residual,path_id,phi_fraction,phi_over_pi,wall_time_s
3.6,0.1669445008929129,-6.047689285323342,-5.880744784430429,2.71868239,0.375,low,2.34368239,3.245482409154194e-14,outside,0.75,1.5,0.07766003534197807
3.6,0.21757579286757167,-5.906238370128152,-5.6886625772605806,2.84368239,0.5,low,2.34368239,2.766342518680707e-14,outside,0.75,1.5,0.07865703478455544
3.6,0.25218752809710043,-5.636168631885742,-5.383981103788641,3.09368239,0.75,low,2.34368239,3.0553420113778534e-14,outside,0.75,1.5,0.0778762511909008
3.6,0.27026055518470127,-5.382585485525176,-5.112324930340475,3.34368239,1.0,low,2.34368239,2.971195064950869e-14,outside,0.75,1.5,0.07738409750163555
3.6,0.6761297116040677,-6.51333935328485,-5.837209641680782,13.531681175,-1.0,high,14.531681175,1.7143482688544892e-13,outside,0.25,0.5,0.10120830032974482
3.6,0.48826710280919183,-5.982232403427066,-5.493965300617874,13.781681175,-0.75,high,14.531681175,1.5049080064981048e-13,outside,0.25,0.5,0.10965663194656372
3.6,0.3103691637798853,-5.484412078148026,-5.17404291436814,14.031681175,-0.5,high,14.531681175,7.286201892426088e-11,outside,0.25,0.5,0.10453593637794256
3.6,0.22629046283911602,-5.248988513795021,-5.022698050955905,14.156681175,-0.375,high,14.531681175,1.0579739351290116e-11,outside,0.25,0.5,0.1045906962826848
3.6,0.14616125649636658,-5.023153815943718,-4.876992559447351,14.281681175,-0.25,high,14.531681175,6.661693771533264e-11,outside,0.25,0.5,0.10866738110780716
3.6,0.07054457241685874,-4.807371595223679,-4.73682702280682,14.406681175,-0.125,high,14.531681175,8.48866707271775e-11,outside,0.25,0.5,0.10848481860011816
3.6,0.03460424603731038,-4.703390756743149,-4.668786510705838,14.469181175,-0.0625,high,14.531681175,8.564064990352351e-14,outside,0.25,0.5,0.13193930592387915
3.6,7.588175581219048e-07,-4.602086966494697,-4.6020862076771385,14.531681175,0.0,high,14.531681175,1.7967857970761102e-11,outside,0.25,0.5,0.13206791691482067
3.6,0.03320774870288279,-4.536711986379283,-4.5035042376764,14.594181175,0.0625,high,14.531681175,4.9064317522767537e-11,outside,0.25,0.5,0.10329691041260958
3.6,0.06495966486087212,-4.472644431535315,-4.407684766674443,14.656681175,0.125,high,14.531681175,1.0237128664640971e-13,outside,0.25,0.5,0.12235351465642452
3.6,0.12390725079713683,-4.348359711228261,-4.224452460431124,14.781681175,0.25,high,14.531681175,9.899140207633054e-14,outside,0.25,0.5,0.12379872053861618
3.6,0.17655492765217407,-4.229083190045608,-4.052528262393434,14.906681175,0.375,high,14.531681175,1.3367343985543114e-13,outside,0.25,0.5,0.12657968886196613
3.6,0.22278649533843264,-4.114657223871216,-3.8918707285327834,15.031681175,0.5,high,14.531681175,1.2027551724751152e-12,outside,0.25,0.5,0.12553074676543474
3.6,0.29647487369699776,-3.8996973620849644,-3.6032224883879667,15.281681175,0.75,high,14.531681175,1.1556810042093171e-10,outside,0.25,0.5,0.12567759584635496
3.6,0.3150231003314654,-3.7021273328123274,-3.387104232480862,15.531681175,1.0,high,14.531681175,1.328225586912766e-10,outside,0.25,0.5,0.1251597460359335
