C_MB,C_MB_integer,Delta0,Delta_center,Delta_min,Q_adiabatic,U,chern_grid,efficiency_adiabatic,label,maximum_abs_flux,maximum_residual,minimum_overlap,path_id,wall_time_s
-7.126730149438863e-17,0,3.0,2.85,0.3204935520590231,-6.514699803922275e-17,16.0,10,-3.2573499019611374e-17,"near-tangent, enclosing origin",0.06873850217027697,2.4856565571184117e-10,0.2615221895789031,near-tangent,9.024756532162428
1.012224398984964e-16,0,3.0,2.85,0.16360061529625736,1.0111540511142936e-16,32.0,10,5.055770255571468e-17,"near-tangent, enclosing origin",0.003019047178580049,1.1342574172498473e-10,0.3011849296767054,near-tangent,13.62935503385961
1.905019731084919e-17,0,3.0,3.6,3.046856656046998,1.951563910473908e-17,-32.0,5,9.75781955236954e-18,translated outside origin,0.003964140841166417,1.1004275821794327e-08,0.9907416283313207,outside,2.348580681718886
3.7479192535475036e-17,0,3.0,3.6,3.0927966320624307,3.642919299551295e-17,-16.0,5,1.8214596497756474e-17,translated outside origin,0.012796759641494489,6.225167356391573e-09,0.9680563683466565,outside,1.783235657028854
3.837648443779764e-17,0,3.0,3.6,3.1373182648382567,3.8163916471489756e-17,-8.0,5,1.9081958235744878e-17,translated outside origin,0.033947896221669105,4.622957282823762e-09,0.9060320880770042,outside,1.7981750601902604
5.521796321985272e-19,0,3.0,3.6,3.0666932371614344,0.0,-4.0,5,0.0,translated outside origin,0.07207600291654265,3.3558959081379517e-09,0.7895027454111182,outside,1.8633456593379378
-3.3130777931911635e-17,0,3.0,3.6,1.862415841668744,-3.469446951953614e-17,0.0,5,-1.734723475976807e-17,translated outside origin,0.25082632346881145,5.527866377008062e-10,0.44279577089788613,outside,1.216389593668282
1.497787252338505e-17,0,3.0,3.6,1.2276571390658537,1.5612511283791264e-17,2.0,10,7.806255641895632e-18,translated outside origin,1.0565818893013796,2.2452987300868896e-09,0.12039983376127249,outside,7.82528976816684
1.0000000000000002,1,3.0,3.6,0.9607276743916424,0.9999999999999999,4.0,10,0.49999999999999994,translated outside origin,0.2531688213115616,2.6304867358994887e-09,0.20015741089017067,outside,7.681329838000238
1.0000000000000002,1,3.0,3.6,0.8546965540323512,0.9999999999999998,5.0,10,0.4999999999999999,translated outside origin,0.23234208612443163,1.988875137250256e-09,0.2512178287754673,outside,7.892396776936948
1.0000000000000002,1,3.0,3.6,0.8054130388065794,1.0000000000000002,5.5,10,0.5000000000000001,translated outside origin,0.22920619278195636,1.873782896919618e-09,0.2647993642370177,outside,7.945322782732546
1.0000000000000002,1,3.0,3.6,0.7592665547566817,1.0,6.0,10,0.5,translated outside origin,0.22132267632152564,1.7302619670959635e-09,0.27399091420403093,outside,7.81290269177407
1.0,1,3.0,3.6,0.7164872112711733,1.0,6.5,10,0.5,translated outside origin,0.20945966603984273,1.287562536400081e-09,0.2803337425874796,outside,7.798610928468406
1.0000000000000002,1,3.0,3.6,0.6770924355043824,1.0,7.0,10,0.5,translated outside origin,0.20868683407645378,1.549391212803044e-09,0.2848103131031924,outside,8.05737233813852
1.0,1,3.0,3.6,0.6586281928149158,0.9999999999999998,7.25,10,0.4999999999999999,translated outside origin,0.21469572493062125,1.2901832594397949e-09,0.2865542708644134,outside,7.97414359729737
0.9999999999999999,1,3.0,3.6,0.6409545208536338,1.0,7.5,10,0.5,translated outside origin,0.21979584290646126,1.819531521952762e-09,0.2880464925744199,outside,7.693620273843408
1.0000000000000002,1,3.0,3.6,0.607863291967603,1.0,8.0,10,0.5,translated outside origin,0.22679883912569807,4.95868413357715e-10,0.2904436733804233,outside,7.622024524025619
1.0,1,3.0,3.6,0.5009792515958309,0.9999999999999999,10.0,10,0.49999999999999994,translated outside origin,0.20488147649223132,1.1549718458154026e-09,0.29569542920165537,outside,7.919803746975958
-1.2127568714913395e-16,0,3.0,3.6,0.32309013730970615,-1.3572855946802909e-16,16.0,10,-6.786427973401454e-17,translated outside origin,0.1691207395065226,2.2017285358055313e-10,0.21043064702970166,outside,8.778206996619701
-4.121422400268509e-17,0,3.0,3.6,0.16395032895179007,-4.224153307957196e-17,32.0,10,-2.112076653978598e-17,translated outside origin,0.003701556086285073,7.833974992528717e-11,0.3008267019892718,outside,10.522407478652894
